Voter ID,Last Name,Suffix,First Name,Middle Name,Street Number,Address Suffix,House Fraction Number,Street Name,Apartment / Unit Number,Address Line 2,Address Line 3,Postal City / Town,State,Postal Zip 5,Zip +4,Mailing Street Number,Mailing Suffix,Mailing House Fraction Number,Mailing Street Name,Mailing Apartment / Unit Number,Mailing Address Line 2,Mailing Address Line 3,Mailing City / Town,Mailing State,Mailing Zip 5,Mailing Zip +4,Party,District
1,MARTINEZ,,NATALIE,HERMIONE,3801,,,MAPLE AVE,,,,SOMEWHERE,NH,97122,,,,,,,,,,,,,UND,0
2,NELSON,,SCARLETT,ABIGAIL,184,,,CRESCENT ST,,,,SOMEWHERE,NH,18912,,,,,,,,,,,,,UND,0
3,GONZALEZ,,CHRISSY,AUBRY,4603,,,VICTORY AVE,,,,SOMEWHERE,NH,72502,,,,,,,,,,,,,UND,0
4,BENNETT,,CHRIS,DAVID,821,,,EVERGREEN TERRACE,,,,SOMEWHERE,NH,40206,,,,,,,,,,,,,UND,0
5,PERRY,,HARPER,LAURA,4364,,,BAYVIEW BLVD,,,,SOMEWHERE,NH,79714,,,,,,,,,,,,,UND,0
6,COOK,,CHRIS,EMILY,4323,,,HIGH ST,,,,SOMEWHERE,NH,80665,,,,,,,,,,,,,UND,0
7,EVANS,,SAMUEL,JACK,1843,,,GARDEN PATH,,,,SOMEWHERE,NH,11940,,,,,,,,,,,,,UND,0
8,WILSON,,SOPHIA,LUCAS,7368,,,SUNSET BLVD,,,,SOMEWHERE,NH,35491,,,,,,,,,,,,,UND,0
9,LONG,,AUBRY,AMANDA,6757,,,BIRCH ST,,,,SOMEWHERE,NH,87596,,,,,,,,,,,,,UND,0
10,SANCHEZ,,ADAM,SOPHIA,1534,,,MAIN ST,,,,SOMEWHERE,NH,54277,,,,,,,,,,,,,UND,0
11,HALL,,HARRISON,ROBERT,5084,,,SUNSET BLVD,,,,SOMEWHERE,NH,78675,,,,,,,,,,,,,UND,0
12,PEREZ,,JAMES,CHRISSY,877,,,GRANITE ST,,,,SOMEWHERE,NH,83950,,,,,,,,,,,,,UND,0
13,WOOD,,CHARLOTTE,AUBRY,6188,,,SUNRISE BLVD,,,,SOMEWHERE,NH,11903,,,,,,,,,,,,,UND,0
14,EDWARDS,,CAROLINE,TAYLOR,7352,,,FOREST DRIVE,,,,SOMEWHERE,NH,23362,,,,,,,,,,,,,UND,0
15,PHILLIPS,,CALEB,ISABELLA,3326,,,SUNRISE BLVD,,,,SOMEWHERE,NH,21483,,,,,,,,,,,,,UND,0
16,PEREZ,,ETHAN,CHRISSY,870,,,WILLOW ST,,,,SOMEWHERE,NH,95938,,,,,,,,,,,,,UND,0
17,PERRY,,AUBRY,AUBRY,7743,,,ELM ST,,,,SOMEWHERE,NH,62441,,,,,,,,,,,,,UND,0
18,RIVERA,,AMELIA,AMANDA,4358,,,HILLCREST DRIVE,,,,SOMEWHERE,NH,57148,,,,,,,,,,,,,UND,0
